470,39.00,3900,Възстановяване и други услуги по управление на отпадъци,3900
471,F,F,СТРОИТЕЛСТВО,0
472,41,41,Строителство на сгради,41
473,41.1,411,Дейности по реализиране на инвестиционни проекти за сгради,411
474,41.10,4110,Дейности по реализиране на инвестиционни проекти за сгради,4110
475,41.2,412,Строителство на жилищни и нежилищни сгради,412
476,41.20,4120,Строителство на жилищни и нежилищни сгради,4120
477,42,42,Строителство на съоръжения,42
478,42.1,421,Строителство на пътища вкл. релсови,421
479,42.11,4211,Строителство на автомагистрали пътища и самолетни писти,4211
480,42.12,4212,Строителство на подземни и надземни релсови пътища,4212
481,42.13,4213,Строителство на мостове и тунели,4213
482,42.2,422,Строителство на преносни и разпределителни проводи и мрежи,422
483,42.21,4221,Строителство на преносни и разпределителни тръбопроводи,4221
484,42.22,4222,Строителство на преносни и разпределителни електрически и далекосъобщителни мрежи,4222
485,42.9,429,Строителство на други съоръжения,429
486,42.91,4291,Строителство на хидротехнически съоръжения,4291
487,42.99,4299,Строителство на други съоръжения некласифицирани другаде,4299
488,43,43,Специализирани строителни дейности,43
489,43.1,431,Разчистване и подготовка на строителната площадка,431
